,,,,,,,,
,,,,,,,,
"配当
学年",曜日,時限,単位,必選区分,科目名,"コース
区分",担当者,教室
1,火,3,2,選択,造形デザイン入門,(RD),大場　久恵,"321,3311,3320"
1,火,3,2,選択,造形デザイン入門,(RD),志水　賢二,"321,3311,3320"
1,火,3,2,選択,造形デザイン入門,(RD),大野　茉莉,"321,3311,3320"
1,火,3,2,選択,造形デザイン入門,(RD),小池　駿太,"321,3311,3320"
2,火,3,2,選択,電気基礎,(RD),泉　智紀,8203
3,火,3,2,選択,コンピュータ設計学,(RD),築地　立家,203
1,火,4,2,選択,造形デザイン入門,(RD),柴山　拓郎,"321,3311,3320"
1,火,4,2,選択,造形デザイン入門,(RD),大場　久恵,"321,3311,3320"
1,火,4,2,選択,造形デザイン入門,(RD),志水　賢二,"321,3311,3320"
1,火,4,2,選択,造形デザイン入門,(RD),大野　茉莉,"321,3311,3320"
1,火,4,2,選択,造形デザイン入門,(RD),小池　駿太,"321,3311,3320"
2,火,4,2,選択,数値解析学,(RD),徳田　太郎,6102
3,火,4,2,選択,オペレーティングシステム,(RD),藤本　衡,203
2,火,5,2,選択,知能情報デザイン概論,(d3),篠原　修二,321
2,火,5,2,選択,知能情報デザイン概論,(d3),高橋　達二,321
2,火,5,2,選択,知能情報デザイン概論,(d3),日髙　章理,321
2,火,5,2,選択,知能情報デザイン概論,(d3),佐藤　聖也,321
2,火,5,2,選択,知能情報デザイン概論,(d3),小林　春美,321
2,火,5,2,選択,知能情報デザイン概論,(d3),鳥居　拓馬,321
3,水,1,2,選択,情報産業論,(RD),中山　洋,201
2,水,2,2,選択,音楽とデザイン,(RD),柴山　拓郎,201
2,水,2,2,選択,音楽とデザイン,(RD),新井　聡真,201
2,水,2,2,選択,音楽とデザイン,(RD),中村　隆行,201
2,水,2,2,選択,コミュニケーション科学,(RD),矢口　博之,221
2,水,2,2,選択,コミュニケーション科学,(RD),大場　久恵,221
2,水,2,2,選択,コミュニケーションデザイン,(RD),矢口　博之,221
2,水,2,2,選択,コミュニケーションデザイン,(RD),大場　久恵,221
3,水,2,2,選択,多変量解析,(d2),佐藤　聖也,117
3,水,2,2,選択,多変量解析,(d2),高橋　達二,117
3,水,2,2,選択,多変量解析,(d3),佐藤　聖也,117
3,水,2,2,選択,多変量解析,(d3),高橋　達二,117
3,水,2,2,選択,多変量解析,(d4),佐藤　聖也,117
3,水,2,2,選択,多変量解析,(d4),高橋　達二,117
2,水,3,2,選択,ゲームプログラミングⅠ,(d1),柴田　良二,"203,204"
2,水,3,2,選択,ゲームプログラミングⅠ,(d4),柴田　良二,"203,204"
2,水,5,2,選択,オブジェクト指向プログラミング,(d1),佐藤　聖也,204
2,水,5,2,選択,オブジェクト指向プログラミング,(d1),高橋　達二,204
2,水,5,2,選択,オブジェクト指向プログラミング,(d2),佐藤　聖也,204
2,水,5,2,選択,オブジェクト指向プログラミング,(d2),高橋　達二,204
2,水,5,2,選択,オブジェクト指向プログラミング,(d3),佐藤　聖也,204
2,水,5,2,選択,オブジェクト指向プログラミング,(d3),高橋　達二,204
1,木,1,2,必修,情報システムデザイン概論,(RD),徳田　太郎,201
1,木,1,2,必修,情報システムデザイン概論,(RD),矢口　博之,201
1,木,1,2,必修,情報システムデザイン概論,(RD),陳　致中,201
1,木,1,2,必修,情報システムデザイン概論,(RD),中山　洋,201
1,木,1,2,必修,情報システムデザイン概論,(RD),藤本　衡,201
1,木,1,2,必修,情報システムデザイン概論,(RD),築地　立家,201
1,木,1,2,必修,情報システムデザイン概論,(RD),柴山　拓郎,201
1,木,1,2,必修,情報システムデザイン概論,(RD),松浦　昭洋,201
1,木,1,2,必修,情報システムデザイン概論,(RD),高橋　達二,201
1,木,1,2,必修,情報システムデザイン概論,(RD),日髙　章理,201
1,木,1,2,必修,情報システムデザイン概論,(RD),泉　智紀,201
1,木,1,2,必修,情報システムデザイン概論,(RD),笹川　隆史,201
1,木,1,2,必修,情報システムデザイン概論,(RD),佐藤　聖也,201
1,木,1,2,必修,情報システムデザイン概論,(RD),小林　春美,201
1,木,1,2,必修,情報システムデザイン概論,(RD),勝本　雄一朗,201
1,木,1,2,必修,情報システムデザイン概論,(RD),小河　誠巳,201
1,木,1,2,必修,情報システムデザイン概論,(RD),篠原　修二,201
1,木,1,2,必修,情報システムデザイン概論,(RD),橋本　侑知,201
1,木,1,2,必修,情報システムデザイン概論,(RD),鳥居　拓馬,201
1,木,1,2,必修,情報システムデザイン概論,(RD),秋山　康智,201
1,木,1,2,必修,情報システムデザイン概論,(RD),大場　久恵,201
1,木,1,2,必修,情報システムデザイン概論,(RD),神戸　英利,201
1,木,1,2,必修,情報システムデザイン概論,(RD),橋浦　弘明,201
2,木,1,2,選択,五感とデザイン,(d3),中山　洋,204
2,木,1,2,選択,五感とデザイン,(d3),竹本　清香,204
2,木,1,2,選択,五感とデザイン,(d3),村田　早苗,204
2,木,1,2,選択,五感とデザイン,(d3),佐藤　英里子,204
2,木,1,2,選択,五感とデザイン,(d4),中山　洋,204
2,木,1,2,選択,五感とデザイン,(d4),竹本　清香,204
2,木,1,2,選択,五感とデザイン,(d4),村田　早苗,204
2,木,1,2,選択,五感とデザイン,(d4),佐藤　英里子,204
2,木,2,2,選択,空間演出デザイン論,(RD),勝本　雄一朗,203
2,木,2,2,選択,技術と表現,(RD),勝本　雄一朗,203
2,木,2,2,選択,アルゴリズムとデータ構造Ⅰ,(RD),笹川　隆史,204
2,木,2,2,選択,アルゴリズムとデータ構造Ⅰ,(RD),橋本　侑知,204
2,木,2,2,選択,アルゴリズムとデータ構造Ⅰ,(RD),橋浦　弘明,204
3,木,2,2,選択,地域貢献論,(RD),柴山　拓郎,321
3,木,2,2,選択,地域貢献論,(RD),竹本　清香,321
3,木,2,2,選択,地域貢献論,(RD),村田　早苗,321
3,木,2,2,選択,地域貢献論,(RD),小田　雅昭,321
3,木,2,2,選択,地域貢献論,(RD),石川　智弥,321
2,木,3,2,選択,データ表現とプログラミング,(d1),高橋　達二,204
2,木,3,2,選択,データ表現とプログラミング,(d1),佐藤　聖也,204
2,木,3,2,選択,データ表現とプログラミング,(d3),高橋　達二,204
2,木,3,2,選択,データ表現とプログラミング,(d3),佐藤　聖也,204
3,木,3,2,選択,情報デザイン総合演習,(d3),勝本　雄一朗,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),矢口　博之,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),中山　洋,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),柴山　拓郎,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),篠原　修二,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),鳥居　拓馬,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),大場　久恵,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),竹本　清香,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),村田　早苗,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),佐藤　英里子,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d3),石川　智弥,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),勝本　雄一朗,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),矢口　博之,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),中山　洋,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),柴山　拓郎,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),篠原　修二,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),鳥居　拓馬,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),大場　久恵,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),竹本　清香,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),村田　早苗,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),佐藤　英里子,"124,221,321,324,325"
3,木,3,2,選択,情報デザイン総合演習,(d4),石川　智弥,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),勝本　雄一朗,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),矢口　博之,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),中山　洋,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),柴山　拓郎,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),篠原　修二,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),鳥居　拓馬,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),大場　久恵,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),竹本　清香,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),村田　早苗,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),佐藤　英里子,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d3),石川　智弥,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),勝本　雄一朗,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),矢口　博之,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),中山　洋,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),柴山　拓郎,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),篠原　修二,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),鳥居　拓馬,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),大場　久恵,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),竹本　清香,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),村田　早苗,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),佐藤　英里子,"124,221,321,324,325"
3,木,3,2,必修,情報デザイン総合演習,(d4),石川　智弥,"124,221,321,324,325"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),秋山　康智,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),藤本　衡,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),徳田　太郎,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),築地　立家,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),松浦　昭洋,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),泉　智紀,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),笹川　隆史,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),小河　誠巳,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),橋本　侑知,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),神戸　英利,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),橋浦　弘明,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d1),萩原　健夫,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),秋山　康智,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),藤本　衡,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),徳田　太郎,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),築地　立家,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),松浦　昭洋,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),泉　智紀,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),笹川　隆史,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),小河　誠巳,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),橋本　侑知,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),神戸　英利,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),橋浦　弘明,"124,2320"
2,木,4,2,選択,情報システム演習Ⅰ,(d2),萩原　健夫,"124,2320"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),柴山　拓郎,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),矢口　博之,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),高橋　達二,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),勝本　雄一朗,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),篠原　修二,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),鳥居　拓馬,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),大場　久恵,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),志水　賢二,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),竹本　清香,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),村田　早苗,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),佐藤　英里子,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d3),石川　智弥,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),柴山　拓郎,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),矢口　博之,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),高橋　達二,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),勝本　雄一朗,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),篠原　修二,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),鳥居　拓馬,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),大場　久恵,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),志水　賢二,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),竹本　清香,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),村田　早苗,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),佐藤　英里子,"221,321,324,325,329"
2,木,4,2,選択,情報デザイン演習Ⅰ,(d4),石川　智弥,"221,321,324,325,329"
3,木,4,2,選択,深層学習,(d1),日髙　章理,117
3,木,4,2,選択,深層学習,(d2),日髙　章理,117
3,木,4,2,選択,深層学習,(d3),日髙　章理,117
3,金,2,2,選択,数理とデザイン,(d1),松浦　昭洋,204
3,金,2,2,選択,数理とデザイン,(d3),松浦　昭洋,204
3,金,2,2,選択,数理とデザイン,(d4),松浦　昭洋,204
